"0742","Veterinary Services","Agricultural services",
"0763","Agricultural Co-operatives","Agricultural services",
"0780","Landscaping and Horticultural Services","Agricultural services",
"1520","General Contractors - Residential and Commercial","Contracted services",
"1711","Air Conditioning, Heating and Plumbing Contractors","Contracted services",
"1731","Electrical Contractors","Contracted services",
"1740","Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors","Contracted services",
"1750","Carpentry Contractors","Contracted services",
"1761","Roofing and Siding, Sheet Metal Work Contractors","Contracted services",
"1771","Concrete Work Contractors","Contracted services",
"1799","Special Trade Contractors (Not Elsewhere Classified)","Contracted services",
"2741","Miscellaneous Publishing and Printing ","Wholesale distributors and manufacturers",
"2791","Typesetting, Plate Making and Related Services ","Wholesale distributors and manufacturers",
"2842","Sanitation, Polishing and Specialty Cleaning Preparations","Wholesale distributors and manufacturers",
"3000","United Airlines","Airlines","UNITED AIR"
"3001","American Airlines","Airlines","AMERICAN AIR"
"3002","Pan American","Airlines","PAN AM AIR"
"3003","Eurofly","Airlines","EUROFLY AIR"
"3004","Dragonair","Airlines","DRAGONAIR"
"3005","British Airways","Airlines","BRITISH AWYS"
"3006","Japan Air Lines","Airlines","JAL AIRLINE"
"3007","Air France","Airlines","AIR FRANCE"
"3008","Lufthansa","Airlines","LUFTHANSA"
"3009","Air Canada","Airlines","AIR CANADA"
"3010","Royal Dutch Airlines (KLM)","Airlines","KLM AIRLINE"
"3011","Aeroflot","Airlines","AEROFLOT"
"3012","Qantas","Airlines","QANTAS AIR"
"3013","ITA Airways (Formerly Alitalia)","Airlines","ITA AIRWAYS (FORMERLY ALITALIA)"
"3014","Saudi Arabian Airlines","Airlines","SAUDIA AIR"
"3015","Swiss International Air Lines","Airlines","SWISSINTAIR"
"3016","Scandinavian Airline System (SAS)","Airlines","SAS"
"3017","South African Airways","Airlines","SAA AIRWAYS"
"3018","Varig (Brazil)","Airlines","VARIG"
"3019","EASTERN AIRLINES","Airlines","EASTERN AIR"
"3020","Air India-AIR","Airlines","AIR-INDIA"
"3021","Air Algerie","Airlines","AIR ALGERIE"
"3022","Philippine Airlines","Airlines","PAL AIR"
"3023","Mexicana","Airlines","MEXICANA"
"3024","Pakistan International","Airlines","PAKISTAN AIR"
"3025","Air New Zealand Limited International","Airlines","AIR NZ"
"3026","Emirates Airlines","Airlines","EMIRATES"
"3027","Union de Transports Aeriens","Airlines","UTA AIRLINE"
"3028","Air Malta","Airlines","AIR MALTA"
"3029","SN Brussels Airlines","Airlines","SNBRSSLSAIR"
"3030","Aerolineas Argentinas","Airlines","AERO ARGENT"
"3031","Olympic Airways","Airlines","OLYMPIC AIR"
"3032","El Al","Airlines","EL AL"
"3033","Ansett Airlines","Airlines","ANSETT AIR"
"3034","Etihad Airways","Airlines","ETIHADAIR"
"3035","Tap (Portugal)","Airlines","TAP AIR"
"3036","VASP (Brazil)","Airlines","VASP AIR"
"3037","EgyptAir","Airlines","EGYPTAIR"
"3038","Kuwait Airways","Airlines","KUWAIT AIR"
"3039","Avianca","Airlines","AVIANCA"
"3040","Gulf Air (Bahrain)","Airlines","GULF AIR"
"3041","Balkan-Bulgarian Airlines","Airlines","BALKAN AIR"
"3042","Finnair","Airlines","FINNAIR"
"3043","Aer Lingus","Airlines","AER LINGUS"
"3044","Air Lanka","Airlines","AIR LANKA"
"3045","Nigeria Airways","Airlines","NIGERIA AIR"
"3046","Cruzeiro do Sul (Brazil)","Airlines","CRUZEIRO AIR"
"3047","THY (Turkey)","Airlines","TURKISH AIRLINES"
"3048","Royal Air Maroc","Airlines","AIR MAROC"
"3049","Tunis Air","Airlines","TUNIS AIR"
"3050","Icelandair","Airlines","ICELANDAIR"
"3051","Austrian Airlines","Airlines","AUSTRIAN AIR"
"3052","LAN Airlines","Airlines","LAN AIR"
"3053","AVIACO (Spain)","Airlines","AVIACO AIR"
"3054","LADECO (Chile)","Airlines","LADECO AIR"
"3055","LAB (Bolivia)","Airlines","LAB AIR"
"3056","Jet Airways","Airlines","JET AIR"
"3057","Virgin America","Airlines","VIR AMER"
"3058","Delta","Airlines","DELTA AIR"
"3059","DBA Airlines","Airlines","DBA AIR"
"3060","Northwest Airlines","Airlines","NWA AIR"
"3061","Continental","Airlines","CONTINENTAL"
"3062","Hapag-Lloyd Express","Airlines","HLX AIR"
"3063","U.S. Airways","Airlines","USAIRWAYS"
"3064","Adria Airways","Airlines","ADRIA AIR"
"3065","Air Inter","Airlines","AIRINTER"
"3066","Southwest Airlines","Airlines","SOUTHWESTAIR"
"3067","Vanguard Airlines","Airlines","VANGUARD AIR"
